Folder;File;Program Version;SMILES;Atoms_1;Atoms_2;Atoms_3;Atoms_4;dihedral_1_orca;dihedral_2_orca;dihedral_3_orca;dihedral_4_orca;dihedral_1_xtb;dihedral_2_xtb;dihedral_3_xtb;dihedral_4_xtb;Number of Atoms;Magnitude (Debye);Dipole_xtb (Debye);Final Energy (Eh);Total energy xtb (Eh);HOMO_orca (eV);LUMO_orca (eV);HOMO-LUMO Gap (eV);HOMO_xtb (eV);LUMO_xtb (eV);HOMO-LUMO xtb (eV)
Group 4;38_iso.log;6.0.0;BrC(C=C1S2)=CC(SC3=CC(Br)=CC(SC4=C(OCC#C)C(SC5=CC(Br)=CC2=C5OCC#C)=CC(Br)=C4)=C3OCC#C)=C1OCC#C;38-16-14-13;10-9-7-6;3-4-28-29;24-25-22-35;-38,583;38,601;6,296;-6,403;-47,035;41,089;-12,389;10,694;68;1.296449489;4,439;-13570.882245517156;-132,5650799;-6,720763;-1,55968;5.1611590266;-10,4376;-7,9087;2,528892
Group 4;39.log;6.0.0;OC1=C(SC2=C(C(SC3=C(O)C(SC4=CC(C(C)(C)C)=CC(SC1=C5)=C4OCC#C)=CC(C(C)(C)C)=C3)=CC(C(C)(C)C)=C2)OCC#C)C=C5C(C)(C)C;32-3-5-6;12-13-15-16;22-23-43-44;50-41-39-38;-59,412;36,512;-20,526;45,13;-48,802;22,826;-29,557;50,421;106;3.912163753;5,255;-3672.919702064736;-154,184955;-5,860487;-0,966916;4.8936437532;-9,5139;-6,975;2,538864
Group 4;39_iso.log;6.0.0;OC(C(SC1=CC(C(C)(C)C)=CC(SC2=CC(C(C)(C)C)=CC(S3)=C2O)=C1OCC#C)=CC(C(C)(C)C)=C4)=C4SC5=C(C3=CC(C(C)(C)C)=C5)OCC#C;6-5-15-16;22-23-44-43;41-50-38-39;3-32-13-12;33,901;33,166;0,23;-115,858;42,154;22,066;-3,609;-116,854;106;2.660173845;2,423;-3675.676108071085;-154,1856324;-5,806855;-1,288659;4.5182624902;-9,522;-6,9795;2,542576
Group 4;40.log;6.0.0;CC(C)(C)C1=CC(CC2=C3)=C(OCCC#C)C(CC4=CC(C(C)(C)C)=CC(CC5=CC(C(C)(C)C)=CC(CC(C=C3C(C)(C)C)=C2OCCC#C)=C5OCCC#C)=C4OCCC#C)=C1;10-9-7-6;64-17-19-20;26-27-29-30;36-37-39-40;-32,901;27,296;-17,283;24,679;-33,419;27,75;-16,531;25,185;136;2.264448085;2,557;-2625.565301857598;-181,2740445;-6,304054;-0,447757;5.8563830852;-10,049;-5,9705;4,078439
Group 4;41.log;6.0.0;CC(C)(C1=CC(CC2=C(C(CC(C=C(C=C3C4)C(C)(C)C)=C3OCCCC#C)=CC(C(C)(C)C)=C2)OCCCC#C)=C(OCCCC#C)C(CC5=CC(C(C)(C)C)=CC4=C5OCCCC#C)=C1)C;13-12-10-29;35-8-6-5;67-49-52-51;59-58-16-15;-21,911;25,782;26,657;-34,417;-21,35;25,335;28,399;-36,317;148;1.207892153;1,121;-2785.476052682306;-193,9351871;-6,244353;-0,356573;5.887866675;-9,8754;-5,8036;4,071742
Group 4;42.log;5.0.4;CC(C1=CC2=C(OCCCC#C)C(CC3=CC(C(C)(C)C)=CC(CC4=CC(C(C)(C)C)=CC(CC5=CC(C(C)(C)C)=CC(C2)=C5OCCCC#C)=C4OCCCC#C)=C3OCCCC#C)=C1)(C)C;42-43-4-5;13-66-15-16;22-23-26-25;33-32-35-36;71,556;-45,578;58,979;-81,361;66,803;-51,736;57,97;-72,283;148;1.10692;1,087;-2781.37028635;-193,9454084;-6,099182;-0,070939;6.0283319218;-9,7552;-5,6218;4,133422
Group 4;43.log;6.0.0;CC(C)(C)C1=CC(CC2=C3)=C(OCCCCC#C)C(CC4=CC(C(C)(C)C)=CC(CC5=CC(C(C)(C)C)=CC(CC(C=C3C(C)(C)C)=C2OCCCCC#C)=C5OCCCCC#C)=C4OCCCCC#C)=C1;10-9-7-6;72-19-21-22;28-29-31-32;38-39-41-42;22,646;-25,148;23,352;-21,796;22,75;-25,271;21,97;-22,447;160;1.989492475;1,956;-2942.597641771503;-206,590617;-6,26721;-0,440056;5.8272396758000005;-9,9809;-5,8828;4,098051
Group 4;44.log;6.0.0;CC(C1=CC2=C(OCCC#C)C(SC3=CC(C(C)(C)C)=CC(SC4=CC(C(C)(C)C)=CC5=C4OCCC#CC(C(C=C6S5)=CC(S2)=C6OCCC#C)(C)C)=C3OCCC#C)=C1)(C)C;15-14-61-12;5-4-45-44;41-42-31-32;24-25-22-21;65,071;-53,048;55,344;-64,373;63,767;-56,434;60,359;-62,117;128;0.108573649;0,089;-4060.339469722957;-181,597803;-5,959155;-0,882834;5.0763955156;-9,6635;-6,6849;2,978599
Group 4;45.log;5.0.4;CC(C1=CC2=C(OCCCC#C)C(SC3=CC(C(C)(C)C)=CC(SC4=CC(C(C)(C)C)=CC(SC5=CC(C(C)(C)C)=CC(S2)=C5OCCCC#C)=C4OCCCC#C)=C3OCCCC#C)=C1)(C)C;36-35-32-33;25-26-23-22;16-15-66-13;5-4-43-42;64,542;-76,663;81,369;-53,491;71,744;-73,592;83,047;-59,494;140;1.68031;1,245;-4216.24263382;-194,2588917;-5,868841;-0,859541;5.0093738374;-9,6242;-6,6408;2,983363
Group 4;46.log;6.0.0;CC(C1=CC2=C(OCCCCC#C)C(SC3=CC(C(C)(C)C)=CC(SC4=CC(C(C)(C)C)=CC(SC5=CC(C(C)(C)C)=CC(S2)=C5OCCCCC#C)=C4OCCCCC#C)=C3OCCCCC#C)=C1)(C)C;17-16-70-14;5-4-44-43;37-36-33-34;26-27-24-23;65,243;-64,07;65,151;-65,207;62,628;-61,686;62,62;-61,704;152;0.03523034;0;-4374.260918121504;-206,9132558;-5,898964;-0,836276;5.0627626042000005;-9,624;-6,6379;2,986046
